"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","conttype2","context","trialtype","content","qtype","conttype","naturalness","comment","experiment"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Carrie","c2","neut2","evenl","inkling","evenq","c1",58,"","exp3b"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",5,"","exp3b"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Sally","c2","neut","evenh","praise","pnq","c1",94,"","exp3b"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Lydia","yespre2","c1","filler","someclimb","yesever2","c2",0,"","exp3b"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Andrew","c2","neg","mnpi","clue","evenpnq","c1",88,"","exp3b"
"S_187","Y","30s","M","ASI","SW",NA,"","","","Roy","c2","neut","snpi","ever","pq2","c1",71,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",68,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Matt","c2","pos","evenh","read","evenpnq","c1",27,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",79,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Roy","c2","neg","snpi","anytime","evenq","c1",84,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Andrew","c2","neut2","mnpi","clue","pnq","c1",62,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Lydia","yespre2","c1","filler","someclimb","noever2","c2",36,"","exp3b"
"S_268","Y","20s","M","LAT","MA",NA,"","","","Carrie","c2","neut","evenl","hint","pq","c1",66,"","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",74,"","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",29,"contradictory","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Roy","c2","neut","snpi","ever","pq2","c1",43,"","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Lydia","nopre","c1","filler","someclimb","noever","c2",26,"makes no sense","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Matt","c2","neut","evenh","read","pnq","c1",68,"","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Andrew","c2","neg","mnpi","clue","evenpnq","c1",87,"","exp3b"
"S_58","Y","30s","M","CAU","MA",NA,"","","","Jacob","c2","neut2","evenl","grain","evenq","c1",78,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",51,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Lily","c2","neut","snpi","anything","evenpnq","c1",38,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Jacob","c2","neut2","evenl","smallest","pnq","c1",14,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Lydia","nopre","c1","filler","someclimb","yesever","c2",89,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Matt","c2","neut","evenh","read","pq","c1",29,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",100,"","exp3b"
"S_89","Y","30s","F","ASI","WE",NA,"","","","Andrew","c2","neg","mnpi","give","evenq","c1",66,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",33,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Roy","c2","neut","snpi","anytime","pnq","c1",75,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Alice","c2","neg","mnpi","lift","pq","c1",80,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Sally","c2","neut","evenh","call","evenq","c1",90,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Lydia","yespre2","c1","filler","someclimb","noever2","c2",28,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Jacob","c2","neut2","evenl","smallest","evenpnq","c1",77,"","exp3b"
"S_339","Y","20s","M","LAT","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",100,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",57,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Lydia","nopre2","c1","filler","someclimb","noever2","c2",40,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Sally","c2","neut","evenh","call","evenpnq","c1",0,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Jacob","c2","neut2","evenl","grain","pq","c1",100,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",18,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Alice","c2","neg","mnpi","lift","pnq","c1",49,"","exp3b"
"S_12","Y","20s","F","LAT","nonUS",NA,"","","","Roy","c2","neut","snpi","anytime","evenq","c1",52,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",16,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Lydia","yespre2","c1","filler","someclimb","noever2","c2",93,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Andrew","c2","neut2","mnpi","clue","pnq","c1",91,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Carrie","c2","neut","evenl","inkling","pq","c1",89,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Sally","c2","pos","evenh","praise","evenpnq","c1",21,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Lily","c2","neg","snpi","anything","evenq","c1",84,"","exp3b"
"S_196","Y","20s","M","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",20,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",81,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",7,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Andrew","c2","neg","mnpi","clue","evenpnq","c1",90,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Carrie","c2","neut2","evenl","inkling","evenq","c1",92,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Lily","c2","neut","snpi","anything","pq2","c1",10,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Matt","c2","neut","evenh","solve","pnq","c1",43,"","exp3b"
"S_362","Y","30s","F","AFR","MA",NA,"","","","Lydia","yespre2","c1","filler","someclimb","yesever2","c2",19,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",7,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Carrie","c2","neut2","evenl","hint","pq","c1",86,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Lydia","nopre","c1","filler","someclimb","noever","c2",80,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Andrew","c2","neg","mnpi","give","pnq","c1",83,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Lily","c2","neut","snpi","anything","evenq","c1",67,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Matt","c2","neut","evenh","read","evenpnq","c1",62,"","exp3b"
"S_180","Y","30s","F","CAU","MW",33,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",18,"","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Prue","TRUE","c1","filler","base1c","res","FALSE",61,"very good","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Carrie","c2","neg","evenl","inkling","evenq","c1",72,"very good","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Alice","c2","neut","mnpi","wink","evenpnq","c1",40,"very good","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Roy","c2","neut2","snpi","anytime","pq","c1",59,"very good","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Sally","c2","neg","evenh","praise","pnq","c1",56,"very good","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Dean","TRUE","c1","filler","base2c","res","FALSE",59,"very good","exp3b"
"S_296","Y","30s","M","CAU","MA",NA,"","","very good","Lydia","yespre2","c1","filler","someclimb","noever2","c2",56,"very good","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",26,"judging by the emphasis it seems as if this might be an argument?","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Lydia","yespre2","c1","filler","someclimb","yesever2","c2",85,"","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Alice","c2","neut2","mnpi","lift","evenq","c1",15,"The comment was about a party and Alice asked about her helping. Doesn't seem fitting. ","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Roy","c2","neg","snpi","anytime","evenpnq","c1",99,"","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",75,"","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Matt","c2","pos","evenh","solve","pq","c1",99,"","exp3b"
"S_112","Y","20s","M","CAU","SO",NA,"","","","Carrie","c2","neut","evenl","inkling","pnq","c1",80,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",29,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Carrie","c2","neut","evenl","hint","evenq","c1",50,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",13,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Andrew","c2","neut2","mnpi","give","evenpnq","c1",61,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Matt","c2","pos","evenh","solve","pnq","c1",41,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Lily","c2","neg","snpi","anything","pq","c1",12,"","exp3b"
"S_7","Y","20s","M","CAU","MW",NA,"","","","Lydia","yespre","c1","filler","someclimb","noever","c2",76,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",23,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Roy","c2","neut2","snpi","anytime","pnq","c1",28,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Lydia","nopre2","c1","filler","someclimb","noever2","c2",97,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Alice","c2","neut","mnpi","lift","pq","c1",40,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",98,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Matt","c2","neg","evenh","solve","evenq","c1",90,"","exp3b"
"S_403","Y","30s","M","CAU","MA",NA,"","","","Jacob","c2","neg","evenl","grain","evenpnq","c1",71,"","exp3b"
"S_11","Y","30s","M","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",17,"","exp3b"
"S_11","Y","30s","M","CAU","MW",NA,"","","","Carrie","c2","neut","evenl","inkling","pnq","c1",1,"","exp3b"
"S_11","Y","30s","M","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",93,"","exp3b"
"S_11","Y","30s","M","CAU","MW",NA,"","","","Matt","c2","pos","evenh","solve","pq","c1",42,"","exp3b"
